service,file_name,relative_path,rows_in_window,columns_in_file
yellow,yellow_tripdata_2021-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\01\yellow_tripdata_2021-01.parquet,1369749,19
yellow,yellow_tripdata_2021-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\02\yellow_tripdata_2021-02.parquet,1371688,19
yellow,yellow_tripdata_2021-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\03\yellow_tripdata_2021-03.parquet,1925141,19
yellow,yellow_tripdata_2021-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\04\yellow_tripdata_2021-04.parquet,2171182,19
yellow,yellow_tripdata_2021-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\05\yellow_tripdata_2021-05.parquet,2507102,19
yellow,yellow_tripdata_2021-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\06\yellow_tripdata_2021-06.parquet,2834232,19
yellow,yellow_tripdata_2021-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\07\yellow_tripdata_2021-07.parquet,2821685,19
yellow,yellow_tripdata_2021-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\08\yellow_tripdata_2021-08.parquet,2788708,19
yellow,yellow_tripdata_2021-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\09\yellow_tripdata_2021-09.parquet,2963763,19
yellow,yellow_tripdata_2021-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\10\yellow_tripdata_2021-10.parquet,3463472,19
yellow,yellow_tripdata_2021-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\11\yellow_tripdata_2021-11.parquet,3472918,19
yellow,yellow_tripdata_2021-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2021\12\yellow_tripdata_2021-12.parquet,3214343,19
yellow,yellow_tripdata_2022-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\01\yellow_tripdata_2022-01.parquet,2463917,19
yellow,yellow_tripdata_2022-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\02\yellow_tripdata_2022-02.parquet,2979422,19
yellow,yellow_tripdata_2022-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\03\yellow_tripdata_2022-03.parquet,3627872,19
yellow,yellow_tripdata_2022-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\04\yellow_tripdata_2022-04.parquet,3599913,19
yellow,yellow_tripdata_2022-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\05\yellow_tripdata_2022-05.parquet,3588280,19
yellow,yellow_tripdata_2022-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\06\yellow_tripdata_2022-06.parquet,3557678,19
yellow,yellow_tripdata_2022-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\07\yellow_tripdata_2022-07.parquet,3174385,19
yellow,yellow_tripdata_2022-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\08\yellow_tripdata_2022-08.parquet,3152669,19
yellow,yellow_tripdata_2022-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\09\yellow_tripdata_2022-09.parquet,3183764,19
yellow,yellow_tripdata_2022-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\10\yellow_tripdata_2022-10.parquet,3675407,19
yellow,yellow_tripdata_2022-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\11\yellow_tripdata_2022-11.parquet,3252711,19
yellow,yellow_tripdata_2022-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2022\12\yellow_tripdata_2022-12.parquet,3399549,19
yellow,yellow_tripdata_2023-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\01\yellow_tripdata_2023-01.parquet,3066764,19
yellow,yellow_tripdata_2023-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\02\yellow_tripdata_2023-02.parquet,2913950,19
yellow,yellow_tripdata_2023-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\03\yellow_tripdata_2023-03.parquet,3403755,19
yellow,yellow_tripdata_2023-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\04\yellow_tripdata_2023-04.parquet,3288242,19
yellow,yellow_tripdata_2023-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\05\yellow_tripdata_2023-05.parquet,3513644,19
yellow,yellow_tripdata_2023-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\06\yellow_tripdata_2023-06.parquet,3307228,19
yellow,yellow_tripdata_2023-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\07\yellow_tripdata_2023-07.parquet,2907104,19
yellow,yellow_tripdata_2023-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\08\yellow_tripdata_2023-08.parquet,2824202,19
yellow,yellow_tripdata_2023-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\09\yellow_tripdata_2023-09.parquet,2846716,19
yellow,yellow_tripdata_2023-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\10\yellow_tripdata_2023-10.parquet,3522281,19
yellow,yellow_tripdata_2023-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\11\yellow_tripdata_2023-11.parquet,3339714,19
yellow,yellow_tripdata_2023-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2023\12\yellow_tripdata_2023-12.parquet,3376564,19
yellow,yellow_tripdata_2024-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\01\yellow_tripdata_2024-01.parquet,2964619,19
yellow,yellow_tripdata_2024-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\02\yellow_tripdata_2024-02.parquet,3007524,19
yellow,yellow_tripdata_2024-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\03\yellow_tripdata_2024-03.parquet,3582626,19
yellow,yellow_tripdata_2024-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\04\yellow_tripdata_2024-04.parquet,3514285,19
yellow,yellow_tripdata_2024-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\05\yellow_tripdata_2024-05.parquet,3723826,19
yellow,yellow_tripdata_2024-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\06\yellow_tripdata_2024-06.parquet,3539187,19
yellow,yellow_tripdata_2024-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\07\yellow_tripdata_2024-07.parquet,3076900,19
yellow,yellow_tripdata_2024-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\08\yellow_tripdata_2024-08.parquet,2979181,19
yellow,yellow_tripdata_2024-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\09\yellow_tripdata_2024-09.parquet,3633027,19
yellow,yellow_tripdata_2024-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\10\yellow_tripdata_2024-10.parquet,3833770,19
yellow,yellow_tripdata_2024-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\11\yellow_tripdata_2024-11.parquet,3646366,19
yellow,yellow_tripdata_2024-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2024\12\yellow_tripdata_2024-12.parquet,3668368,19
yellow,yellow_tripdata_2025-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2025\01\yellow_tripdata_2025-01.parquet,3475226,20
yellow,yellow_tripdata_2025-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2025\02\yellow_tripdata_2025-02.parquet,3577543,20
yellow,yellow_tripdata_2025-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2025\03\yellow_tripdata_2025-03.parquet,4145255,20
yellow,yellow_tripdata_2025-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2025\04\yellow_tripdata_2025-04.parquet,3970553,20
yellow,yellow_tripdata_2025-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2025\05\yellow_tripdata_2025-05.parquet,4591844,20
yellow,yellow_tripdata_2025-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2025\06\yellow_tripdata_2025-06.parquet,4322960,20
yellow,yellow_tripdata_2025-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\yellow\2025\07\yellow_tripdata_2025-07.parquet,3898962,20
yellow,TOTAL,,178021736,21
green,green_tripdata_2021-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\01\green_tripdata_2021-01.parquet,76515,20
green,green_tripdata_2021-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\02\green_tripdata_2021-02.parquet,64571,20
green,green_tripdata_2021-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\03\green_tripdata_2021-03.parquet,83827,20
green,green_tripdata_2021-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\04\green_tripdata_2021-04.parquet,86940,20
green,green_tripdata_2021-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\05\green_tripdata_2021-05.parquet,88177,20
green,green_tripdata_2021-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\06\green_tripdata_2021-06.parquet,86736,20
green,green_tripdata_2021-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\07\green_tripdata_2021-07.parquet,83686,20
green,green_tripdata_2021-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\08\green_tripdata_2021-08.parquet,83493,20
green,green_tripdata_2021-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\09\green_tripdata_2021-09.parquet,95706,20
green,green_tripdata_2021-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\10\green_tripdata_2021-10.parquet,110889,20
green,green_tripdata_2021-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\11\green_tripdata_2021-11.parquet,108226,20
green,green_tripdata_2021-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2021\12\green_tripdata_2021-12.parquet,99959,20
green,green_tripdata_2022-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\01\green_tripdata_2022-01.parquet,62494,20
green,green_tripdata_2022-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\02\green_tripdata_2022-02.parquet,69398,20
green,green_tripdata_2022-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\03\green_tripdata_2022-03.parquet,78537,20
green,green_tripdata_2022-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\04\green_tripdata_2022-04.parquet,76136,20
green,green_tripdata_2022-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\05\green_tripdata_2022-05.parquet,76891,20
green,green_tripdata_2022-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\06\green_tripdata_2022-06.parquet,73716,20
green,green_tripdata_2022-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\07\green_tripdata_2022-07.parquet,64192,20
green,green_tripdata_2022-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\08\green_tripdata_2022-08.parquet,65928,20
green,green_tripdata_2022-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\09\green_tripdata_2022-09.parquet,69031,20
green,green_tripdata_2022-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\10\green_tripdata_2022-10.parquet,69321,20
green,green_tripdata_2022-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\11\green_tripdata_2022-11.parquet,62312,20
green,green_tripdata_2022-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2022\12\green_tripdata_2022-12.parquet,72439,20
green,green_tripdata_2023-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\01\green_tripdata_2023-01.parquet,68210,20
green,green_tripdata_2023-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\02\green_tripdata_2023-02.parquet,64808,20
