service,file_name,relative_path,rows_in_window,columns_in_file
green,green_tripdata_2023-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\03\green_tripdata_2023-03.parquet,72044,20
green,green_tripdata_2023-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\04\green_tripdata_2023-04.parquet,65392,20
green,green_tripdata_2023-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\05\green_tripdata_2023-05.parquet,69173,20
green,green_tripdata_2023-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\06\green_tripdata_2023-06.parquet,65550,20
green,green_tripdata_2023-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\07\green_tripdata_2023-07.parquet,61343,20
green,green_tripdata_2023-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\08\green_tripdata_2023-08.parquet,60649,20
green,green_tripdata_2023-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\09\green_tripdata_2023-09.parquet,65469,20
green,green_tripdata_2023-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\10\green_tripdata_2023-10.parquet,66177,20
green,green_tripdata_2023-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\11\green_tripdata_2023-11.parquet,64025,20
green,green_tripdata_2023-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2023\12\green_tripdata_2023-12.parquet,64215,20
green,green_tripdata_2024-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\01\green_tripdata_2024-01.parquet,56551,20
green,green_tripdata_2024-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\02\green_tripdata_2024-02.parquet,53577,20
green,green_tripdata_2024-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\03\green_tripdata_2024-03.parquet,57455,20
green,green_tripdata_2024-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\04\green_tripdata_2024-04.parquet,56471,20
green,green_tripdata_2024-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\05\green_tripdata_2024-05.parquet,61001,20
green,green_tripdata_2024-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\06\green_tripdata_2024-06.parquet,54748,20
green,green_tripdata_2024-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\07\green_tripdata_2024-07.parquet,51837,20
green,green_tripdata_2024-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\08\green_tripdata_2024-08.parquet,51771,20
green,green_tripdata_2024-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\09\green_tripdata_2024-09.parquet,54439,20
green,green_tripdata_2024-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\10\green_tripdata_2024-10.parquet,56147,20
green,green_tripdata_2024-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\11\green_tripdata_2024-11.parquet,52222,20
green,green_tripdata_2024-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2024\12\green_tripdata_2024-12.parquet,53992,20
green,green_tripdata_2025-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2025\01\green_tripdata_2025-01.parquet,48326,21
green,green_tripdata_2025-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2025\02\green_tripdata_2025-02.parquet,46621,21
green,green_tripdata_2025-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2025\03\green_tripdata_2025-03.parquet,51539,21
green,green_tripdata_2025-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2025\04\green_tripdata_2025-04.parquet,52132,21
green,green_tripdata_2025-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2025\05\green_tripdata_2025-05.parquet,55399,21
green,green_tripdata_2025-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2025\06\green_tripdata_2025-06.parquet,49390,21
green,green_tripdata_2025-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\green\2025\07\green_tripdata_2025-07.parquet,48202,21
green,TOTAL,,3707995,21
fhvhv,fhvhv_tripdata_2021-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\01\fhvhv_tripdata_2021-01.parquet,11908468,24
fhvhv,fhvhv_tripdata_2021-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\02\fhvhv_tripdata_2021-02.parquet,11613942,24
fhvhv,fhvhv_tripdata_2021-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\03\fhvhv_tripdata_2021-03.parquet,14227393,24
fhvhv,fhvhv_tripdata_2021-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\04\fhvhv_tripdata_2021-04.parquet,14111371,24
fhvhv,fhvhv_tripdata_2021-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\05\fhvhv_tripdata_2021-05.parquet,14719171,24
fhvhv,fhvhv_tripdata_2021-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\06\fhvhv_tripdata_2021-06.parquet,14961892,24
fhvhv,fhvhv_tripdata_2021-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\07\fhvhv_tripdata_2021-07.parquet,15027174,24
fhvhv,fhvhv_tripdata_2021-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\08\fhvhv_tripdata_2021-08.parquet,14499696,24
fhvhv,fhvhv_tripdata_2021-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\09\fhvhv_tripdata_2021-09.parquet,14886055,24
fhvhv,fhvhv_tripdata_2021-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\10\fhvhv_tripdata_2021-10.parquet,16545356,24
fhvhv,fhvhv_tripdata_2021-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\11\fhvhv_tripdata_2021-11.parquet,16041639,24
fhvhv,fhvhv_tripdata_2021-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2021\12\fhvhv_tripdata_2021-12.parquet,16054495,24
fhvhv,fhvhv_tripdata_2022-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\01\fhvhv_tripdata_2022-01.parquet,14751591,24
fhvhv,fhvhv_tripdata_2022-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\02\fhvhv_tripdata_2022-02.parquet,16019283,24
fhvhv,fhvhv_tripdata_2022-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\03\fhvhv_tripdata_2022-03.parquet,18453548,24
fhvhv,fhvhv_tripdata_2022-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\04\fhvhv_tripdata_2022-04.parquet,17752561,24
fhvhv,fhvhv_tripdata_2022-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\05\fhvhv_tripdata_2022-05.parquet,18157335,24
fhvhv,fhvhv_tripdata_2022-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\06\fhvhv_tripdata_2022-06.parquet,17780075,24
fhvhv,fhvhv_tripdata_2022-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\07\fhvhv_tripdata_2022-07.parquet,17464619,24
fhvhv,fhvhv_tripdata_2022-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\08\fhvhv_tripdata_2022-08.parquet,17185687,24
fhvhv,fhvhv_tripdata_2022-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\09\fhvhv_tripdata_2022-09.parquet,17793551,24
fhvhv,fhvhv_tripdata_2022-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\10\fhvhv_tripdata_2022-10.parquet,19306090,24
fhvhv,fhvhv_tripdata_2022-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\11\fhvhv_tripdata_2022-11.parquet,18085896,24
fhvhv,fhvhv_tripdata_2022-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2022\12\fhvhv_tripdata_2022-12.parquet,19665847,24
fhvhv,fhvhv_tripdata_2023-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\01\fhvhv_tripdata_2023-01.parquet,18479031,24
fhvhv,fhvhv_tripdata_2023-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\02\fhvhv_tripdata_2023-02.parquet,17960971,24
fhvhv,fhvhv_tripdata_2023-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\03\fhvhv_tripdata_2023-03.parquet,20413539,24
fhvhv,fhvhv_tripdata_2023-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\04\fhvhv_tripdata_2023-04.parquet,19144903,24
fhvhv,fhvhv_tripdata_2023-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\05\fhvhv_tripdata_2023-05.parquet,19847676,24
fhvhv,fhvhv_tripdata_2023-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\06\fhvhv_tripdata_2023-06.parquet,19366619,24
fhvhv,fhvhv_tripdata_2023-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\07\fhvhv_tripdata_2023-07.parquet,19132131,24
fhvhv,fhvhv_tripdata_2023-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\08\fhvhv_tripdata_2023-08.parquet,18322150,24
fhvhv,fhvhv_tripdata_2023-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\09\fhvhv_tripdata_2023-09.parquet,19851123,24
fhvhv,fhvhv_tripdata_2023-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\10\fhvhv_tripdata_2023-10.parquet,20186330,24
fhvhv,fhvhv_tripdata_2023-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\11\fhvhv_tripdata_2023-11.parquet,19269250,24
fhvhv,fhvhv_tripdata_2023-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2023\12\fhvhv_tripdata_2023-12.parquet,20516297,24
fhvhv,fhvhv_tripdata_2024-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\01\fhvhv_tripdata_2024-01.parquet,19663930,24
fhvhv,fhvhv_tripdata_2024-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\02\fhvhv_tripdata_2024-02.parquet,19359148,24
fhvhv,fhvhv_tripdata_2024-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\03\fhvhv_tripdata_2024-03.parquet,21280788,24
fhvhv,fhvhv_tripdata_2024-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\04\fhvhv_tripdata_2024-04.parquet,19733038,24
fhvhv,fhvhv_tripdata_2024-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\05\fhvhv_tripdata_2024-05.parquet,20704538,24
fhvhv,fhvhv_tripdata_2024-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\06\fhvhv_tripdata_2024-06.parquet,20123226,24
fhvhv,fhvhv_tripdata_2024-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\07\fhvhv_tripdata_2024-07.parquet,19182934,24
fhvhv,fhvhv_tripdata_2024-08.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\08\fhvhv_tripdata_2024-08.parquet,19128392,24
fhvhv,fhvhv_tripdata_2024-09.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\09\fhvhv_tripdata_2024-09.parquet,19209788,24
fhvhv,fhvhv_tripdata_2024-10.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\10\fhvhv_tripdata_2024-10.parquet,20028282,24
fhvhv,fhvhv_tripdata_2024-11.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\11\fhvhv_tripdata_2024-11.parquet,19987533,24
fhvhv,fhvhv_tripdata_2024-12.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2024\12\fhvhv_tripdata_2024-12.parquet,21068851,24
fhvhv,fhvhv_tripdata_2025-01.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2025\01\fhvhv_tripdata_2025-01.parquet,20405666,25
fhvhv,fhvhv_tripdata_2025-02.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2025\02\fhvhv_tripdata_2025-02.parquet,19339461,25
fhvhv,fhvhv_tripdata_2025-03.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2025\03\fhvhv_tripdata_2025-03.parquet,20536879,25
fhvhv,fhvhv_tripdata_2025-04.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2025\04\fhvhv_tripdata_2025-04.parquet,19753983,25
fhvhv,fhvhv_tripdata_2025-05.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2025\05\fhvhv_tripdata_2025-05.parquet,21091193,25
fhvhv,fhvhv_tripdata_2025-06.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2025\06\fhvhv_tripdata_2025-06.parquet,19868009,25
fhvhv,fhvhv_tripdata_2025-07.parquet,C:\Users\Steven Groenewald\Dropbox\PC\Desktop\UP\MIT805\Live Data\raw\nyc_taxi\fhvhv\2025\07\fhvhv_tripdata_2025-07.parquet,19653012,25
fhvhv,TOTAL,,999621406,25
